"","x"
"1",1
"2",1
"3",2
"4",2
"5",4
"6",2
"7",2
"8",2
"9",1
"10",2
"11",2
"12",2
"13",2
"14",2
"15",2
"16",2
"17",1
"18",1
"19",1
"20",2
"21",2
"22",1
"23",2
"24",2
"25",2
"26",2
"27",2
"28",4
"29",4
"30",4
"31",1
"32",1
"33",1
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",2
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",2
"49",1
"50",1
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",2
"60",2
"61",2
"62",2
"63",2
"64",2
"65",2
"66",2
"67",4
"68",4
"69",2
"70",2
"71",1
"72",1
"73",2
"74",1
"75",2
"76",2
"77",2
"78",1
"79",1
"80",1
"81",1
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",1
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",2
"110",2
"111",2
"112",2
"113",2
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",2
"122",2
"123",2
"124",2
"125",2
"126",2
"127",2
"128",2
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",2
"136",2
"137",2
"138",2
"139",2
"140",2
"141",1
"142",2
"143",2
"144",2
"145",2
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",2
"154",2
"155",2
"156",2
"157",2
"158",2
"159",1
"160",2
"161",2
"162",2
"163",2
"164",2
"165",2
"166",2
"167",1
"168",1
"169",2
"170",1
"171",2
"172",2
"173",2
"174",2
"175",2
"176",2
"177",2
"178",2
"179",2
"180",2
"181",2
"182",2
"183",2
"184",2
"185",2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",2
"195",2
"196",2
"197",2
"198",2
"199",2
"200",2
"201",1
"202",1
"203",1
"204",4
"205",4
"206",4
"207",2
"208",2
"209",2
"210",2
"211",2
"212",1
"213",2
"214",2
"215",2
"216",2
"217",2
"218",2
"219",1
"220",2
"221",1
"222",1
"223",2
"224",2
"225",2
"226",2
"227",1
"228",4
"229",4
"230",4
"231",1
"232",2
"233",2
"234",2
"235",2
"236",2
"237",1
"238",1
"239",4
"240",2
"241",2
"242",1
"243",2
"244",2
"245",1
"246",2
"247",2
"248",2
"249",2
"250",2
"251",2
"252",2
"253",2
"254",2
"255",2
"256",2
"257",2
"258",2
"259",1
"260",1
"261",2
"262",2
"263",2
"264",2
"265",2
"266",1
"267",1
"268",1
"269",2
"270",2
"271",2
"272",2
"273",2
"274",1
"275",2
"276",2
"277",1
"278",2
"279",2
"280",2
"281",2
"282",2
"283",2
"284",1
"285",1
"286",2
"287",2
"288",2
"289",2
"290",2
"291",2
"292",2
"293",2
"294",2
"295",2
"296",2
"297",2
"298",2
"299",2
"300",2
"301",2
"302",2
"303",2
"304",2
"305",4
"306",1
"307",2
"308",2
"309",2
"310",2
"311",2
"312",2
"313",2
"314",1
"315",1
"316",2
"317",2
"318",2
"319",2
"320",2
"321",2
"322",1
"323",1
"324",1
"325",2
"326",2
"327",2
"328",2
"329",4
"330",4
"331",4
"332",4
"333",4
"334",4
"335",4
"336",4
"337",4
"338",4
"339",4
"340",4
"341",4
"342",4
"343",4
"344",2
"345",2
"346",2
"347",2
"348",1
"349",1
"350",1
"351",2
"352",2
"353",2
"354",2
"355",2
"356",1
"357",1
"358",1
"359",1
"360",4
"361",2
"362",2
"363",2
"364",2
"365",1
"366",1
"367",2
"368",4
"369",4
"370",2
"371",2
"372",2
"373",2
"374",2
"375",1
"376",1
"377",4
"378",2
"379",2
"380",2
"381",2
"382",1
"383",1
"384",1
"385",1
"386",2
"387",2
"388",2
"389",2
"390",2
"391",2
"392",2
"393",1
"394",1
"395",2
"396",2
"397",2
"398",2
"399",2
"400",2
"401",1
"402",1
"403",2
"404",1
"405",2
"406",2
"407",1
"408",2
"409",2
"410",2
"411",2
"412",2
"413",2
"414",2
"415",2
"416",2
"417",1
"418",2
"419",1
"420",1
"421",2
"422",1
"423",1
"424",1
"425",4
"426",2
"427",2
"428",2
"429",2
"430",1
"431",2
"432",2
"433",1
"434",1
"435",2
"436",2
"437",2
"438",2
"439",2
"440",2
"441",2
"442",2
"443",2
"444",2
"445",2
"446",2
"447",2
"448",2
"449",2
"450",1
"451",1
"452",1
"453",1
"454",2
"455",2
"456",2
"457",2
"458",1
"459",1
"460",1
"461",1
"462",1
"463",1
"464",1
"465",2
"466",4
"467",4
"468",4
"469",4
"470",4
"471",4
"472",4
"473",4
"474",4
"475",4
"476",4
"477",4
"478",4
"479",4
"480",4
"481",1
