"","x"
"1",4
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",2
"22",1
"23",2
"24",2
"25",2
"26",2
"27",2
"28",2
"29",2
"30",2
"31",2
"32",2
"33",2
"34",1
"35",1
"36",2
"37",2
"38",2
"39",2
"40",4
"41",1
"42",1
"43",1
"44",1
"45",2
"46",2
"47",2
"48",2
"49",2
"50",4
"51",2
"52",2
"53",4
"54",2
"55",2
"56",2
"57",2
"58",2
"59",1
"60",4
"61",2
"62",2
"63",2
"64",2
"65",1
"66",1
"67",1
"68",2
"69",2
"70",2
"71",4
"72",4
"73",1
"74",2
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",1
"83",1
"84",1
"85",2
"86",2
"87",2
"88",2
"89",1
"90",1
"91",2
"92",1
"93",1
"94",1
"95",2
"96",1
"97",2
"98",2
"99",2
"100",2
"101",2
"102",1
"103",1
"104",2
"105",2
"106",2
"107",2
"108",4
"109",4
"110",4
"111",1
"112",2
"113",2
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",1
"121",1
"122",2
"123",1
"124",1
"125",2
"126",2
"127",2
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",2
"136",2
"137",2
"138",2
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",2
"147",2
"148",2
"149",1
"150",1
"151",1
"152",2
"153",2
"154",2
"155",4
"156",4
"157",1
"158",1
"159",1
"160",1
"161",2
"162",2
"163",2
"164",2
"165",2
"166",2
"167",2
"168",2
"169",2
"170",2
"171",4
"172",4
"173",2
"174",1
"175",1
"176",1
"177",1
"178",1
"179",2
"180",2
"181",2
"182",2
"183",2
"184",2
"185",1
"186",2
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",1
"194",1
"195",1
"196",2
"197",2
"198",2
"199",2
"200",1
"201",2
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",2
"210",2
"211",1
"212",1
"213",1
"214",1
"215",2
"216",2
"217",2
"218",2
"219",2
"220",2
"221",2
"222",2
"223",2
"224",4
"225",2
"226",4
"227",4
"228",2
"229",2
"230",2
"231",2
"232",2
"233",2
"234",2
"235",2
"236",4
"237",4
"238",1
"239",1
"240",1
"241",2
"242",2
"243",4
"244",4
"245",1
"246",1
"247",4
"248",4
"249",4
"250",4
"251",4
"252",4
"253",4
"254",4
"255",4
"256",2
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",2
"264",4
"265",4
"266",4
"267",4
"268",4
"269",4
"270",4
"271",4
"272",4
"273",4
"274",4
"275",4
"276",2
"277",2
"278",2
"279",4
"280",1
"281",2
"282",4
"283",4
"284",4
"285",4
"286",4
"287",4
"288",4
"289",4
"290",4
"291",4
"292",4
"293",4
"294",4
"295",4
"296",4
"297",4
"298",4
"299",4
"300",4
"301",4
"302",4
"303",4
"304",4
"305",4
"306",4
"307",4
"308",2
"309",2
"310",2
"311",1
"312",2
"313",2
"314",1
"315",2
"316",2
"317",2
"318",2
"319",2
"320",2
"321",2
"322",1
"323",2
"324",2
"325",1
"326",2
"327",4
"328",1
"329",1
"330",1
"331",2
"332",2
"333",2
"334",2
"335",2
"336",2
"337",1
"338",2
"339",2
"340",2
"341",2
"342",2
"343",2
"344",2
"345",2
"346",2
"347",2
"348",2
"349",2
"350",2
"351",2
"352",2
"353",2
"354",2
"355",2
"356",2
"357",1
"358",1
"359",1
"360",1
"361",1
"362",2
"363",4
"364",2
"365",2
"366",2
"367",2
"368",2
"369",2
"370",2
"371",2
"372",2
"373",2
"374",2
"375",1
"376",1
"377",1
"378",2
"379",1
"380",2
"381",2
"382",1
"383",2
"384",2
"385",2
"386",1
"387",1
"388",1
"389",2
"390",1
"391",2
"392",2
"393",2
"394",2
"395",1
"396",2
"397",2
"398",1
"399",1
"400",2
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",1
"409",2
"410",4
"411",4
"412",2
"413",2
"414",2
"415",2
"416",2
"417",2
"418",1
"419",2
"420",1
"421",1
"422",4
"423",2
"424",2
"425",2
"426",2
"427",2
"428",2
"429",2
"430",2
"431",2
"432",2
"433",2
"434",2
"435",2
"436",4
"437",2
"438",2
"439",2
"440",1
"441",1
"442",1
"443",1
"444",1
"445",1
"446",2
"447",2
"448",2
